iter	RMSE
1082	10636.60104
1083	10626.05591
1084	10617.65606
1085	10610.61173
1086	10601.63917
1087	10597.58761
1088	10597.39537
1089	10591.53592
1090	10583.15553
1091	10580.0053
1092	10567.55678
1093	10559.50224
1094	10549.84119
1095	10548.89205
1096	10537.17083
1097	10534.20717
1098	10533.08455
1099	10528.09336
1100	10526.45228
1101	10517.87792
1102	10514.37145
1103	10508.39585
1104	10504.13449
1105	10496.13401
1106	10488.18981
1107	10477.36769
1108	10476.70461
1109	10472.26796
1110	10461.76248
1111	10456.89356
1112	10442.30488
1113	10434.38145
1114	10431.79816
1115	10428.08327
1116	10419.59256
1117	10418.62656
1118	10411.75266
1119	10405.09202
1120	10399.88889
1121	10393.58216
1122	10379.79197
1123	10375.72763
1124	10375.14863
1125	10363.64917
1126	10361.81704
1127	10357.77001
1128	10354.07742
1129	10345.25548
1130	10339.60026
1131	10338.05509
1132	10329.2437
1133	10327.59818
1134	10324.37355
1135	10310.64972
1136	10304.58196
1137	10295.68472
1138	10284.4089
1139	10277.70225
1140	10271.91664
1141	10263.15593
1142	10254.73352
1143	10250.84984
1144	10240.02331
1145	10235.06763
1146	10229.04977
1147	10224.23294
1148	10219.52559
1149	10212.83228
1150	10203.58125
1151	10197.76458
1152	10195.29727
1153	10188.55618
1154	10177.005
1155	10176.24849
1156	10171.08006
1157	10162.70541
1158	10156.80693
1159	10156.36273
1160	10149.99497
1161	10140.82429
1162	10134.68305
1163	10134.48534
1164	10123.63876
1165	10119.36527
1166	10106.68804
1167	10099.89248
1168	10091.86833
1169	10086.56306
1170	10083.49437
1171	10075.73964
1172	10068.45683
1173	10066.93074
1174	10062.1229
1175	10060.2802
1176	10052.95381
1177	10050.15142
1178	10044.63779
1179	10039.91468
1180	10036.27586
1181	10033.88219
1182	10027.05631
1183	10018.99706
1184	10013.3408
1185	10006.81151
1186	10002.33142
1187	9998.883518
1188	9992.574936
1189	9991.258625
1190	9981.208714
1191	9976.144157
1192	9970.139158
1193	9964.636651
1194	9955.018266
1195	9954.244016
1196	9952.011318
1197	9939.650125
1198	9926.752006
1199	9926.470828
